Mass	RemnantMass	Luminosity	Time
78.7977	8	2.13117e+52	5.1e+06
74.8105	8	2.13117e+52	5.4e+06
68.8542	8	2.13117e+52	5.5e+06
37.5263	9.05922	2.73288e+52	6.1e+06
52.708	8	2.13117e+52	6.5e+06
33.426	9.57175	3.05085e+52	6.5e+06
49.5847	8	2.13117e+52	6.7e+06
85.3666	8.53666	2.42669e+52	7.5e+06
37.099	9.11263	2.7652e+52	7.6e+06
47.6642	8	2.13117e+52	7.6e+06
65.6066	8	2.13117e+52	7.6e+06
31.4301	9.82123	3.21196e+52	7.7e+06
25.9457	7.63137	1.93929e+52	8e+06
35.4161	9.32298	2.89433e+52	8e+06
33.0113	9.62358	3.08398e+52	8.4e+06
25.5231	7.38499	1.81609e+52	8.6e+06
35.3498	9.33127	2.89948e+52	8.6e+06
39.2432	8.8446	2.60492e+52	8.7e+06
50.9111	8	2.13117e+52	8.8e+06
22.1861	5.4395	9.85272e+51	9.1e+06
34.9115	9.38606	2.93363e+52	9.2e+06
57.2637	8	2.13117e+52	9.4e+06
39.4294	8.82133	2.59123e+52	9.8e+06
21.7548	5.18804	8.96284e+51	9.9e+06
69.5798	8	2.13117e+52	5.9e+06
69.6268	8	2.13117e+52	5.9e+06
94.7964	9.47964	2.99242e+52	5.9e+06
35.8622	9.26722	2.85981e+52	6.2e+06
31.8438	9.76953	3.17823e+52	6.8e+06
78.853	8	2.13117e+52	7e+06
31.5169	9.81039	3.20487e+52	7.7e+06
30.1722	9.97848	3.31564e+52	8e+06
30.1233	9.98458	3.3197e+52	8.1e+06
82.5814	8.25814	2.27092e+52	8.1e+06
23.3679	6.12849	1.25068e+52	8.2e+06
36.0916	9.23856	2.84215e+52	8.3e+06
29.7675	9.85945	3.23701e+52	8.8e+06
26.4433	7.92142	2.08951e+52	9.3e+06
46.0102	8	2.13117e+52	9.3e+06
95.3852	9.53852	3.02971e+52	9.3e+06
26.3468	7.8652	2.05996e+52	9.7e+06
62.6144	8	2.13117e+52	9.7e+06
20.9812	4.73703	7.47224e+51	9.9e+06
89.4756	8.94756	2.66592e+52	5e+06
75.776	8	2.13117e+52	5.6e+06
81.5783	8.15783	2.21609e+52	5.9e+06
92.6744	9.26744	2.85994e+52	6.2e+06
49.6929	8	2.13117e+52	6.4e+06
51.6156	8	2.13117e+52	6.4e+06
67.1556	8	2.13117e+52	6.6e+06
30.1873	9.97659	3.31438e+52	7e+06
56.6629	8	2.13117e+52	7e+06
42.7059	8.41176	2.3562e+52	7.1e+06
30.6958	9.91302	3.27228e+52	7.4e+06
43.3504	8.33119	2.31128e+52	7.6e+06
58.7154	8	2.13117e+52	7.9e+06
95.1727	9.51727	3.01622e+52	8.2e+06
32.6134	9.67333	3.11595e+52	8.4e+06
29.9435	9.96204	3.30472e+52	8.5e+06
23.5222	6.21846	1.28767e+52	8.8e+06
22.051	5.36075	9.56953e+51	8.9e+06
29.762	9.85624	3.2349e+52	9e+06
40.3716	8.70355	2.5225e+52	9.1e+06
49.6767	8	2.13117e+52	9.4e+06
40.335	8.70812	2.52515e+52	9.5e+06
24.2095	6.61914	1.45895e+52	9.8e+06
27.6637	8.63293	2.48173e+52	1e+07
77.7377	8	2.13117e+52	4.5e+06
47.2495	8	2.13117e+52	6.4e+06
44.7433	8.15709	2.21569e+52	6.8e+06
85.4988	8.54988	2.43421e+52	6.9e+06
36.3041	9.21199	2.82583e+52	7.1e+06
39.9969	8.75039	2.54973e+52	7.2e+06
46.9286	8	2.13117e+52	7.3e+06
41.804	8.5245	2.41978e+52	7.4e+06
71.1408	8	2.13117e+52	7.4e+06
27.5938	8.59219	2.45837e+52	7.6e+06
80.3983	8.03983	2.15245e+52	7.7e+06
34.89	9.38875	2.93531e+52	8.1e+06
36.3825	9.20218	2.81981e+52	8.1e+06
38.7665	8.90418	2.64014e+52	8.5e+06
34.2542	9.46823	2.98522e+52	8.7e+06
43.7409	8.28239	2.28428e+52	8.8e+06
38.8102	8.89873	2.6369e+52	9.1e+06
61.3732	8	2.13117e+52	9.4e+06
61.3502	8	2.13117e+52	9.6e+06
22.5708	5.66376	1.06819e+52	9.8e+06
