Mass	RemnantMass	CompanionMass	Temperature	Luminosity	IonLuminosity	Time
52.708	8	31.0234	1.9859e+07	5.95384e+38	4.8697e+36	4.7e+06
78.7977	8	62.6945	1.30991e+07	1.12705e+38	2.84473e+36	4.7e+06
37.5263	9.05922	36.5675	4.333e+06	1.34936e+36	0	6e+06
33.426	9.57175	32.7576	2.03449e+07	6.55836e+38	5.01659e+36	6.4e+06
38.7843	8.90196	11.723	5.80194e+06	4.33776e+36	0	6.4e+06
35.4161	9.32298	27.6178	1.65231e+07	2.85327e+38	3.86511e+36	6.8e+06
31.4301	9.82123	28.1777	7.01065e+06	9.24707e+36	0	7.1e+06
39.2432	8.8446	28.617	2.74648e+06	2.17809e+35	0	7.3e+06
65.6066	8	65.0145	1.70824e+07	3.25965e+38	4.01947e+36	7.5e+06
32.5588	9.68016	15.2323	3.91395e+06	8.98321e+35	0	7.6e+06
28.2036	8.94769	5.74567	2.10836e+07	7.56398e+38	5.2401e+36	7.7e+06
37.6438	9.04453	15.3393	3.67834e+06	7.00776e+35	0	7.7e+06
30.9468	9.88164	15.3956	1.16452e+06	7.03978e+33	0	8.5e+06
31.7158	9.78552	10.8926	2.35144e+06	1.17032e+35	0	8.5e+06
50.9111	8	47.5728	1.15097e+07	6.7179e+37	2.37736e+36	8.6e+06
37.2936	9.0883	12.9912	2.21325e+07	9.18529e+38	5.55789e+36	8.8e+06
57.2637	8	44.6722	1.03498e+07	4.39231e+37	2.0402e+36	8.8e+06
22.5315	5.64089	19.2448	2.54981e+06	1.61809e+35	0	9e+06
27.6556	8.62824	9.70126	8.91073e+06	2.41338e+37	1.62414e+36	9e+06
34.9115	9.38606	34.091	9.96997e+06	3.78223e+37	1.93075e+36	9.1e+06
23.4091	6.15249	20.8104	4.15327e+06	1.13903e+36	0	9.3e+06
24.4579	6.76397	11.9167	9.06609e+06	2.58615e+37	1.67259e+36	9.3e+06
25.7826	7.53627	17.4743	1.95363e+07	5.57626e+38	4.77222e+36	9.3e+06
39.4294	8.82133	35.1943	1.90409e+07	5.03173e+38	4.62236e+36	9.3e+06
26.4682	7.93597	20.6304	1.2754e+06	1.01287e+34	0	9.7e+06
46.7289	8	22.2861	9.73295e+06	3.43518e+37	1.86276e+36	9.7e+06
20.2892	4.33362	19.5487	9.90429e+06	3.68354e+37	1.91188e+36	9.8e+06
19.2499	3.72771	9.37911	5.21629e+06	2.83413e+36	0	9.9e+06
22.9945	5.91077	22.3925	2.127e+06	7.83506e+34	0	9.9e+06
18.9718	3.56558	17.7598	1.25865e+06	9.60709e+33	0	1e+07
69.5798	8	58.2108	3.17597e+06	3.89474e+35	0	5.5e+06
82.5814	8.25814	33.2168	3.71051e+06	7.25615e+35	0	5.8e+06
33.5638	9.55452	11.3003	9.14464e+06	2.67694e+37	1.69488e+36	7.3e+06
31.5169	9.81039	30.1942	1.73183e+06	3.44344e+34	0	7.5e+06
29.7675	9.85945	24.9787	5.14594e+06	2.6843e+36	0	7.8e+06
30.1233	9.98458	29.2334	3.63536e+06	6.68592e+35	0	7.9e+06
23.3679	6.12849	23.2212	1.62883e+07	2.69451e+38	3.79472e+36	8.1e+06
30.4916	9.93855	22.7161	6.87148e+06	8.53439e+36	0	8.3e+06
40.8735	8.64081	24.0775	1.44065e+06	1.64894e+34	0	8.3e+06
25.5395	7.39456	11.6139	3.11076e+06	3.58458e+35	0	8.4e+06
29.2369	9.55009	22.0527	7.02896e+06	9.3441e+36	0	8.4e+06
29.7587	9.85431	11.4897	1.31363e+07	1.13989e+38	2.85572e+36	8.5e+06
43.1783	8.35271	19.2162	1.40657e+07	1.49837e+38	3.13124e+36	8.5e+06
62.6144	8	40.609	1.28908e+06	1.05703e+34	0	8.6e+06
24.3375	6.69376	15.1598	3.51409e+06	5.83745e+35	0	8.7e+06
26.3468	7.8652	23.4017	1.69271e+07	3.14268e+38	3.98633e+36	8.9e+06
30.0563	9.99297	21.7834	3.67879e+06	7.01117e+35	0	9e+06
20.6734	4.55762	18.3114	9.11574e+06	2.64326e+37	1.68667e+36	9.2e+06
26.4433	7.92142	26.0687	2.33142e+06	1.13098e+35	0	9.2e+06
30.3521	9.95599	22.1894	5.04594e+06	2.48165e+36	0	9.2e+06
95.3852	9.53852	92.5743	1.12247e+07	6.07676e+37	2.29416e+36	9.2e+06
33.2542	9.59323	9.55627	2.81059e+06	2.38871e+35	0	9.6e+06
20.5614	4.49232	11.8027	1.57541e+07	2.35799e+38	3.63473e+36	9.9e+06
25.5886	7.42314	17.272	1.8527e+07	4.5102e+38	4.4677e+36	1e+07
89.4756	8.94756	63.0041	1.43857e+07	1.63944e+38	3.22813e+36	4.4e+06
75.776	8	54.798	7.41696e+06	1.15845e+37	1.21304e+36	5e+06
56.6629	8	33.2734	1.87412e+07	4.72236e+38	4.53226e+36	5.4e+06
42.7059	8.41176	31.6635	5.28995e+06	2.99763e+36	0	6e+06
92.6744	9.26744	89.3812	1.54556e+06	2.18432e+34	0	6.1e+06
58.7154	8	33.2276	5.64576e+06	3.8892e+36	0	6.2e+06
29.762	9.85624	21.9565	1.27981e+07	1.02697e+38	2.75582e+36	7.1e+06
25.7628	7.52474	15.8257	6.79611e+06	8.16607e+36	0	7.4e+06
31.9116	9.76105	8.64808	1.76574e+07	3.72116e+38	4.20582e+36	7.5e+06
