T								F
1000000000								9.1992651E-23
977237220								9.0970007E-23
954992590								8.9959217E-23
933254300								8.8960148E-23
912010840								8.797267E-23
891250940								8.6996653E-23
870963590								8.6031972E-23
851138040								8.50785E-23
831763770								8.4136113E-23
812830520								8.3204689E-23
794328230								8.2284106E-23
776247120								8.1374244E-23
758577580								8.0474987E-23
741310240								7.9586217E-23
724435960								7.8707819E-23
707945780								7.7839679E-23
691830970								7.6981684E-23
676082980								7.6133724E-23
660693450								7.5295688E-23
645654230								7.4467467E-23
630957340								7.3648956E-23
616595000								7.2840046E-23
602559590								7.2040635E-23
588843660								7.125062E-23
575439940								7.0469899E-23
562341330								6.9698373E-23
549540870								6.8935941E-23
537031800								6.8182508E-23
524807460								6.743798E-23
512861380								6.6702262E-23
501187230								6.5975263E-23
489778820								6.5256891E-23
478630090								6.4547058E-23
467735140								6.3845674E-23
457088190								6.3152654E-23
446683590								6.246791E-23
436515830								6.179136E-23
426579520								6.112292E-23
416869380								6.0462509E-23
407380280								5.9810045E-23
398107170								5.9165451E-23
389045140								5.8528649E-23
380189400								5.789956E-23
371535230								5.7278109E-23
363078050								5.6664217E-23
354813390								5.6057809E-23
346736850								5.545881E-23
338844160								5.4867145E-23
331131120								5.4282742E-23
323593660								5.3705528E-23
316227770								5.3135432E-23
309029540								5.2572383E-23
301995170								5.2016311E-23
295120920								5.1467146E-23
288403150								5.092482E-23
281838290								5.0389266E-23
275422870								4.9860417E-23
269153480								4.9338206E-23
263026800								4.8822569E-23
257039580								4.8313442E-23
251188640								4.7810762E-23
245470890								4.7314463E-23
239883290								4.6824484E-23
234422880								4.6340762E-23
229086770								4.5863236E-23
223872110								4.5391843E-23
218776160								4.492652E-23
213796210								4.4467206E-23
208929610								4.4013838E-23
204173790								4.3566351E-23
199526230								4.312468E-23
194984460								4.2688761E-23
190546070								4.2258527E-23
186208710								4.1833914E-23
181970090								4.1414852E-23
177827940								4.1001275E-23
173780080								4.0593113E-23
169824370								4.0190297E-23
165958690								3.9792756E-23
162181010								3.940042E-23
158489320								3.9013218E-23
154881660								3.8631077E-23
151356120								3.8253923E-23
147910840								3.7881681E-23
144543980								3.7514274E-23
141253750								3.7151625E-23
138038430								3.6793655E-23
134896290								3.6440283E-23
131825670								3.6091429E-23
128824960								3.5747005E-23
125892540								3.5406927E-23
123026880								3.5071106E-23
120226440								3.4739455E-23
117489760								3.4411886E-23
114815360								3.4088312E-23
112201850								3.3768648E-23
109647820								3.3452806E-23
107151930								3.3140704E-23
104712850								3.2832259E-23
102329300								3.2527394E-23
100000000								3.2226034E-23
97723722								3.1928106E-23
95499259								3.1633545E-23
93325430								3.1342285E-23
91201084								3.105427E-23
89125094								3.0769444E-23
87096359								3.0487762E-23
85113804								3.0209181E-23
83176377								2.9933665E-23
81283052								2.9661186E-23
79432823								2.9391722E-23
77624712								2.9125259E-23
75857758								2.8861791E-23
74131024								2.8601319E-23
72443596								2.8343851E-23
70794578								2.8089404E-23
69183097								2.7838003E-23
67608298								2.7589678E-23
66069345								2.7344471E-23
64565423								2.7102422E-23
63095734								2.6863581E-23
61659500								2.6628003E-23
60255959								2.6395747E-23
58884366								2.6166879E-23
57543994								2.5941472E-23
56234133								2.57196E-23
54954087								2.5501349E-23
53703180								2.5286806E-23
52480746								2.5076064E-23
51286138								2.4869222E-23
50118723								2.4666386E-23
48977882								2.4467657E-23
47863009								2.4273151E-23
46773514								2.4082985E-23
45708819								2.3897283E-23
44668359								2.3716176E-23
43651583								2.35398E-23
42657952								2.3368295E-23
41686938								2.3201815E-23
40738028								2.3040523E-23
39810717								2.2884587E-23
38904514								2.2734191E-23
38018940								2.258952E-23
37153523								2.2450774E-23
36307805								2.2318166E-23
35481339								2.2191927E-23
34673685								2.2072292E-23
33884416								2.1959525E-23
33113112								2.1853902E-23
32359366								2.1755721E-23
31622777								2.1665303E-23
30902954								2.1582989E-23
30199517								2.1509152E-23
29512092								2.1444199E-23
28840315								2.1388569E-23
28183829								2.1342739E-23
27542287								2.1307227E-23
26915348								2.1282598E-23
26302680								2.1269466E-23
25703958								2.1268502E-23
25118864								2.1280436E-23
24547089								2.1306067E-23
23988329								2.1346258E-23
23442288								2.1401956E-23
22908677								2.1474189E-23
22387211								2.1564076E-23
21877616								2.1672831E-23
21379621								2.180177E-23
20892961								2.1952313E-23
20417379								2.2125986E-23
19952623								2.2324418E-23
19498446								2.2549338E-23
19054607								2.2802559E-23
18620871								2.3085963E-23
18197009								2.340146E-23
17782794								2.3750957E-23
17378008								2.4136271E-23
16982437								2.4559054E-23
16595869								2.5020672E-23
16218101								2.5522071E-23
15848932								2.6063611E-23
15488166								2.6644907E-23
15135612								2.7264662E-23
14791084								2.7920512E-23
14454398								2.8608899E-23
14125375								2.9325044E-23
13803843								3.0062968E-23
13489629								3.0815647E-23
13182567								3.1575254E-23
12882496								3.2333475E-23
12589254								3.3081904E-23
12302688								3.3812425E-23
12022644								3.4517567E-23
11748976								3.5190787E-23
11481536								3.5826641E-23
11220185								3.6420843E-23
10964782								3.6970236E-23
10715193								3.7472672E-23
10471285								3.7926857E-23
10232930								3.8332199E-23
10000000								3.8688652E-23
9772372								3.8996615E-23
9549926								3.9256801E-23
9332543								3.9470244E-23
9120108								3.9638261E-23
8912509								3.9762451E-23
8709636								3.9844722E-23
8511380								3.988731E-23
8317638								3.9892744E-23
8128305								3.9863826E-23
7943282								3.98036E-23
7762471								3.971531E-23
7585776								3.9602346E-23
7413102								3.9468213E-23
7244360								3.9316456E-23
7079458								3.9150625E-23
6918310								3.8974211E-23
6760830								3.8790612E-23
6606934								3.8603068E-23
6456542								3.8414695E-23
6309573								3.8228454E-23
6165950								3.8047079E-23
6025596								3.7873055E-23
5888437								3.7708642E-23
5754399								3.7555901E-23
5623413								3.7416743E-23
5495409								3.729299E-23
5370318								3.718644E-23
5248075								3.7098956E-23
5128614								3.7032511E-23
5011872								3.6989256E-23
4897788								3.6971528E-23
4786301								3.6981888E-23
4677351								3.7023117E-23
4570882								3.7098196E-23
4466836								3.7210318E-23
4365158								3.7362869E-23
4265795								3.7559446E-23
4168694								3.7803845E-23
4073803								3.8100136E-23
3981072								3.8452743E-23
3890451								3.8866473E-23
3801894								3.9346577E-23
3715352								3.989882E-23
3630781								4.0529513E-23
3548134								4.1245522E-23
3467369								4.2054225E-23
3388442								4.2963435E-23
3311311								4.3981296E-23
3235937								4.5116149E-23
3162278								4.6376358E-23
3090295								4.7770174E-23
3019952								4.9305585E-23
2951209								5.099022E-23
2884032								5.2831341E-23
2818383								5.4835905E-23
2754229								5.7010815E-23
2691535								5.936319E-23
2630268								6.1900529E-23
2570396								6.4630778E-23
2511886								6.7561933E-23
2454709								7.0700981E-23
2398833								7.4052139E-23
