Ion Z N Eth Emax E0 sigma0 ya P yw y0 y1
HI 1 1 1.360e1 5.e4 4.298e-1 5.475e4 3.288e1 2.963 0. 0. 0.
HeI 2 2 2.456e1 5.e4 1.361e1 9.492e2 1.469 3.188 2.039 4.434e-1 2.136
HeII 3 1 5.442e1 5.e4 1.72 1.369e4 3.288e1 2.963 0. 0. 0.
LiI 3 3 5.392 6.439e1 3.107 6.245e1 1.501e1 4.895 0. 0. 0.
LiII 3 2 7.564e1 5.e4 2.006e1 3.201e2 7.391 2.916 0. 0. 0.
LiIII 4 1 1.225e2 5.e4 3.871 6.083e3 3.288e1 2.963 0. 0. 0.
BeI 4 4 9.323 1.193e2 9.539 2.932e5 4.301e-1 1.052e1 3.655e-1 8.278e-4 1.269e-2
BeII 4 3 1.821e1 1.299e2 1.181 2.678e2 5.645 1.170e1 0. 0. 0.
BeIII 4 2 1.539e2 5.e4 1.760e1 5.458e2 1.719e1 3.157 0. 0. 0.
BeIV 4 1 2.177e2 5.e4 6.879 3.422e3 3.288e1 2.963 0. 0. 0.
BI 5 5 8.298 1.94e2 5.213e-1 5.466 8.618 1.728e1 1.887e1 1.319e1 4.556
BII 5 4 2.516e1 2.098e2 2.869 1.859e4 1.783 1.618e1 3.503 4.960e-3 3.400e-2
BIII 5 3 3.793e1 2.274e2 1.041 5.393e1 1.767e1 9.540 0. 0. 0.
BIV 5 2 2.594e2 5.e4 3.336e1 2.846e2 2.163e1 2.624 0. 0. 0.
BV 5 1 3.402e2 5.e4 1.075e1 2.19e3 3.288e1 2.963 0. 0. 0.
CI 6 6 1.126e1 2.910e2 2.144 5.027e2 6.216e1 5.101 9.157e-2 1.133 1.607
CII 6 5 2.438e1 3.076e2 4.058e-1 8.709 1.261e2 8.578 2.093 4.929e1 3.234
CIII 6 4 4.789e1 3.289e2 4.614 1.539e4 1.737 1.593e1 5.922 4.378e-3 2.528e-2
CIV 6 3 6.449e1 3.522e2 3.506 1.068e2 1.436e1 7.457 0. 0. 0.
CV 6 2 3.921e2 5.e4 4.624e1 2.344e2 2.183e1 2.581 0. 0. 0.
CVI 6 1 4.9e2 5.e4 1.548e1 1.521e3 3.288e1 2.963 0. 0. 0.
NI 7 7 1.453e1 4.048e2 4.034 8.235e2 8.033e1 3.928 9.097e-2 8.598e-1 2.325
NII 7 6 2.960e1 4.236e2 6.128e-2 1.944 8.163e2 8.773 1.043e1 4.28e2 2.03e1
NIII 7 5 4.745e1 4.473e2 2.42e-1 9.375e-1 2.788e2 9.156 1.859 1.877e2 3.999
NIV 7 4 7.747e1 4.753e2 5.494 1.690e4 1.714 1.706e1 7.904 6.415e-3 1.937e-2
NV 7 3 9.789e1 5.043e2 4.471 8.376e1 3.297e1 6.003 0. 0. 0.
NVI 7 2 5.521e2 5.e4 6.943e1 1.519e2 2.627e1 2.315 0. 0. 0.
NVII 7 1 6.671e2 5.e44 2.108e1 1.117e3 3.288e1 2.963 0. 0. 0.
OI 8 8 1.362e1 5.38e2 1.240 1.745e3 3.784 1.764 7.589e-2 8.698 1.271e-1
OII 8 7 3.512e1 5.581e2 1.386 5.967e1 3.175e1 8.943 1.934e-2 2.131e1 1.503e-2
OIII 8 6 5.849e2 5.840e2 1.723e-1 6.753e2 3.852e2 6.822 1.191e-1 3.839e-3 4.569e-1
OIV 8 5 7.741e1 6.144e2 2.044e-1 8.659e-1 4.931e2 8.785 3.143 3.328e2 4.285e1
