Ion Z N Arad eta
HI 1 1 0 0
HeI 2 2 0 0
HeII 2 1 0 0
LiI 3 3 0 0
LiII 3 2 0 0
LiIII 3 1 0 0
BeI 4 4 0 0
BeII 4 3 0 0
BeIII 4 2 0 0
BeIV 4 1 0 0
BI 5 5 0 0
BII 5 4 0 0
BIII 5 3 0 0
BIV 5 2 0 0
BV 5 1 0 0
CI 6 6 4.7e-13 0.624
CII 6 5 2.3e-12 0.645
CIII 6 4 3.2e-12 0.770
CIV 6 3 0 0
CV 6 2 0 0
CVI 6 1 0 0
NI 7 7 4.1e-13 0.608
NII 7 6 2.2e-12 0.639
NIII 7 5 5.0e-11 0.676
NIV 7 4 6.5e-12 0.743
NV 7 3 0 0
NVI 7 2 0 0
NVII 7 1 0 0
OI 8 8 3.1e-13 0.678
OII 8 7 2.0e-12 0.646
OIII 8 6 5.1e-12 0.666
OIV 8 5 9.6e-12 0.670
OV 8 4 1.2e-12 0.779
OVI 8 3 0 0
OVII 8 2 0 0
OVIII 8 1 0 0
FI 9 9 0 0
FII 9 8 0 0
FIII 9 7 0 0
FIV 9 6 0 0
FV 9 5 0 0
FVI 9 4 0 0
FVII 9 3 0 0
FVIII 9 2 0 0
FIX 9 1 0 0
NeI 10 10 2.2e-13 0.759
NeII 10 9 1.5e-12 0.693
NeIII 10 8 4.4e-12 0.675
NeIV 10 7 9.1e-12 0.668
NeV 10 6 1.5e-11 0.684
NeVI 10 5 2.3e-11 0.704
NeVII 10 4 2.8e-11 0.771
NeVIII 10 3 0 0
NeIX 10 2 0 0
NeX 10 1 0 0
NaI 11 11 0 0
NaII 11 10 0 0
NaIII 11 9 0 0
NaIV 11 8 0 0
NaV 11 7 0 0
NaVI 11 6 0 0
NaVII 11 5 0 0
NaVIII 11 4 0 0
NaIX 11 3 0 0
NaX 11 2 0 0
NaXI 11 1 0 0
MgI 12 12 1.4e-13 0.855
MgII 12 11 0 0
MgIII 12 10 3.5e-12 0.734
MgIV 12 9 7.7e-12 0.718
MgV 12 8 1.4e-11 0.716
MgVI 12 7 2.3e-11 0.691
MgVII 12 6 3.2e-11 0.691
MgVIII 12 5 4.6e-11 0.711
MgIX 12 4 5.8e-11 0.804
MgX 12 3 0 0
MgXI 12 2 0 0
MgXII 12 1 0 0
AlI 13 13 0 0
AlII 13 12 0 0
AlIII 13 11 0 0
AlIV 13 10 0 0
AlV 13 9 0 0
AlVI 13 8 0 0
AlVII 13 7 0 0
AlVIII 13 6 0 0
AlIX 13 5 0 0
AlX 13 4 0 0
AlXI 13 3 0 0
AlXII 13 2 0 0
AlXIII 13 1 0 0
SiI 14 14 5.9e-13 0.601
SiII 14 13 1.0e-12 0.786
SiIII 14 12 3.7e-12 0.693
SiIV 14 11 0 0
SiV 14 10 1.2e-11 0.735
SiVI 14 9 2.1e-11 0.716
SiVII 14 8 3.0e-11 0.702
SiVIII 14 7 4.3e-11 0.688
SiIX 14 6 5.8e-11 0.703
SiX 14 5 7.7e-11 0.714
SiXI 14 4 1.2e-10 0.855
SiXII 14 3 0 0
SiXIII 14 2 0 0
SiXIV 14 1 0 0
SI 16 16 4.1e-13 0.630
SII 16 15 1.8e-12 0.686
SIII 16 14 2.7e-12 0.745
SIV 16 13 5.7e-12 0.755
SV 16 12 1.2e-11 0.701
SVI 16 11 0 0
SVII 16 10 2.7e-11 0.733
SVIII 16 9 4.0e-11 0.696
SIX 16 8 5.5e-11 0.711
SX 16 7 7.4e-11 0.716
SXI 16 6 9.2e-11 0.714
SXII 16 5 1.4e-10 0.755
SXIII 16 4 1.7e-10 0.832
SXIV 16 3 0 0
SXV 16 2 0 0
SXVI 16 1 0 0
ArI 18 18 0 0
ArII 18 17 0 0
ArIII 18 16 0 0
ArIV 18 15 0 0
ArV 18 14 0 0
ArVI 18 13 0 0
ArVII 18 12 0 0
ArVIII 18 11 0 0
ArIX 18 10 0 0
ArX 18 9 0 0
ArXI 18 8 0 0
ArXII 18 7 0 0
ArXIII 18 6 0 0
ArXIV 18 5 0 0
ArXV 18 4 0 0
ArXVI 18 3 0 0
ArXVII 18 2 0 0
ArXVIII 18 1 0 0
CaI 20 20 0 0
CaII 20 19 0 0
CaIII 20 18 0 0
CaIV 20 17 0 0
CaV 20 16 0 0
CaVI 20 15 0 0
CaVII 20 14 0 0
CaVIII 20 13 0 0
CaIX 20 12 0 0
CaX 20 11 0 0
CaXI 20 10 0 0
CaXII 20 9 0 0
CaXIII 20 8 0 0
CaXIV 20 7 0 0
CaXV 20 6 0 0
CaXVI 20 5 0 0
CaXVII 20 4 0 0
CaXVIII 20 3 0 0
CaXIX 20 2 0 0
CaXX 20 1 0 0
FeI 26 26 0 0
FeII 26 25 0 0
FeIII 26 24 0 0
FeIV 26 23 0 0
FeV 26 22 0 0
FeVI 26 21 0 0
FeVII 26 20 0 0
FeVIII 26 19 0 0
FeIX 26 18 0 0
FeX 26 17 0 0
FeXI 26 16 0 0
FeXII 26 15 0 0
FeXIII 26 14 0 0
FeXIV 26 13 0 0
FeXV 26 12 0 0
FeXVI 26 11 0 0
FeXVII 26 10 0 0
FeXVIII 26 9 0 0
FeXIX 26 8 0 0
FeXX 26 7 0 0
FeXXI 26 6 0 0
FeXXII 26 5 0 0
FeXXIII 26 4 0 0
FeXXIV 26 3 0 0
FeXXV 26 2 0 0
FeXXVI 26 1 0 0
