Ion Z N A alpha beta
HI 1 1 0 0 0
HeI 2 2 0 0 0
HeII 2 1 0 0 0
LiI 3 3 0 0 0
LiII 3 2 0 0 0
LiIII 3 1 0 0 0
BeI 4 4 0 0 0
BeII 4 3 0 0 0
BeIII 4 2 0 0 0
BeIV 4 1 0 0 0
BI 5 5 0 0 0
BII 5 4 0 0 0
BIII 5 3 0 0 0
BIV 5 2 0 0 0
BV 5 1 0 0 0
CI 6 6 0 0 0
CII 6 5 0 0 0
CIII 6 4 0 0 0
CIV 6 3 0 0 0
CV 6 2 0 0 0
CVI 6 1 0 0 0
NI 7 7 0 0 0
NII 7 6 0 0 0
NIII 7 5 0 0 0
NIV 7 4 0 0 0
NV 7 3 0 0 0
NVI 7 2 0 0 0
NVII 7 1 0 0 0
OI 8 8 0 0 0
OII 8 7 0 0 0
OIII 8 6 0 0 0
OIV 8 5 0 0 0
OV 8 4 0 0 0
OVI 8 3 0 0 0
OVII 8 2 0 0 0
OVIII 8 1 0 0 0
FI 9 9 0 0 0
FII 9 8 0 0 0
FIII 9 7 0 0 0
FIV 9 6 0 0 0
FV 9 5 0 0 0
FVI 9 4 0 0 0
FVII 9 3 0 0 0
FVIII 9 2 0 0 0
FIX 9 1 0 0 0
NeI 10 10 0 0 0
NeII 10 9 0 0 0
NeIII 10 8 0 0 0
NeIV 10 7 0 0 0
NeV 10 6 0 0 0
NeVI 10 5 0 0 0
NeVII 10 4 0 0 0
NeVIII 10 3 0 0 0
NeIX 10 2 0 0 0
NeX 10 1 0 0 0
NaI 11 11 0 0 0
NaII 11 10 0 0 0
NaIII 11 9 0 0 0
NaIV 11 8 0 0 0
NaV 11 7 0 0 0
NaVI 11 6 0 0 0
NaVII 11 5 0 0 0
NaVIII 11 4 0 0 0
NaIX 11 3 0 0 0
NaX 11 2 0 0 0
NaXI 11 1 0 0 0
MgI 12 12 0 0 0
MgII 12 11 0 0 0
MgIII 12 10 0 0 0
MgIV 12 9 0 0 0
MgV 12 8 0 0 0
MgVI 12 7 0 0 0
MgVII 12 6 0 0 0
MgVIII 12 5 0 0 0
MgIX 12 4 0 0 0
MgX 12 3 0 0 0
MgXI 12 2 0 0 0
MgXII 12 1 0 0 0
AlI 13 13 0 0 0
AlII 13 12 0 0 0
AlIII 13 11 0 0 0
AlIV 13 10 0 0 0
AlV 13 9 0 0 0
AlVI 13 8 0 0 0
AlVII 13 7 0 0 0
AlVIII 13 6 0 0 0
AlIX 13 5 0 0 0
AlX 13 4 0 0 0
AlXI 13 3 0 0 0
AlXII 13 2 0 0 0
AlXIII 13 1 0 0 0
SiI 14 14 0 0 0
SiII 14 13 0 0 0
SiIII 14 12 0 0 0
SiIV 14 11 0 0 0
SiV 14 10 0 0 0
SiVI 14 9 0 0 0
SiVII 14 8 0 0 0
SiVIII 14 7 0 0 0
SiIX 14 6 0 0 0
SiX 14 5 0 0 0
SiXI 14 4 0 0 0
SiXII 14 3 0 0 0
SiXIII 14 2 0 0 0
