Ion Z N Arad Xrad
HI 1 1 0 0
HeI 2 2 0 0
HeII 2 1 0 0
LiI 3 3 0 0
LiII 3 2 0 0
LiIII 3 1 0 0
BeI 4 4 0 0
BeII 4 3 0 0
BeIII 4 2 0 0
BeIV 4 1 0 0
BI 5 5 0 0
BII 5 4 0 0
BIII 5 3 0 0
BIV 5 2 0 0
BV 5 1 0 0
CI 6 6 0 0
CII 6 5 0 0
CIII 6 4 0 0
CIV 6 3 0 0
CV 6 2 0 0
CVI 6 1 0 0
NI 7 7 0 0
NII 7 6 0 0
NIII 7 5 0 0
NIV 7 4 0 0
NV 7 3 0 0
NVI 7 2 0 0
NVII 7 1 0 0
OI 8 8 0 0
OII 8 7 0 0
OIII 8 6 0 0
OIV 8 5 0 0
OV 8 4 0 0
OVI 8 3 0 0
OVII 8 2 0 0
OVIII 8 1 0 0
FI 9 9 6.273e-13 6.798e-1
FII 9 8 1.344e-12 6.708e-1
FIII 9 7 5.231e-12 6.615e-1
FIV 9 6 9.171e-12 6.757e-1
FV 9 5 1.558e-11 6.816e-1
FVI 9 4 1.919e-11 7.849e-1
FVII 9 3 0 0
FVIII 9 2 0 0
FIX 9 1 0 0
NeI 10 10 0 0
NeII 10 9 0 0
NeIII 10 8 0 0 
NeIV 10 7 0 0
NeV 10 6 0 0
NeVI 10 5 0 0
NeVII 10 4 0 0
NeVIII 10 3 0 0
NeIX 10 2 0 0
NeX 10 1 0 0
NaI 11 11 3.467e-13 8.466e-1
NaII 11 10 8.775e-13 7.464e-1
NaIII 11 9 3.399e-12 7.054e-1
NaIV 11 8 7.849e-12 6.952e-1
NaV 11 7 1.447e-11 6.814e-1
NaVI 11 6 2.191e-11 6.875e-1
NaVII 11 5 3.253e-11 7.075e-1
NaVIII 11 4 4.030e-11 7.873e-1
NaIX 11 3 0 0
NaX 11 2 0 0
NaXI 11 1 0 0
MgI 12 12 1.40e-13 8.55e-1
MgII 12 11 8.80e-13 8.38e-1
MgIII 12 10 3.50e-12 7.34e-1
MgIV 12 9 7.70e-12 7.18e-1
MgV 12 8 1.40e-11 7.16e-1
MgVI 12 7 2.30e-11 6.95e-1
MgVII 12 6 3.20e-11 6.91e-1
MgVIII 12 5 4.60e-11 7.11e-1
MgIX 12 4 5.80e-11 8.04e-1
MgX 12 3 9.10e-11 8.30e-1
MgXI 12 2 1.50e-10 7.79e-1
MgXII 12 1 5.89e-11 7.26e-1
AlI 13 13 3.980e-13 8.019e-1
AlII 13 12 7.197e-13 7.697e-1
AlIII 13 11 2.200e-12 8.295e-1
AlIV 13 10 6.481e-12 7.345e-1
AlV 13 9 1.275e-11 7.170e-1
AlVI 13 8 2.049e-11 7.090e-1
AlVII 13 7 3.145e-11 6.915e-1
AlVIII 13 6 4.308e-11 6.70e-1
AlIX 13 5 5.951e-11 7.125e-1
AlX 13 4 8.343e-11 8.291e-1
AlXI 13 3 0 0
AlXII 13 2 0 0
AlXIII 13 1 0 0
SiI 14 14 0 0
SiII 14 13 0 0
SiIII 14 12 0 0
SiIV 14 11 0 0
SiV 14 10 0 0
SiVI 14 9 0 0
SiVII 14 8 0 0
SiVIII 14 7 0 0
SiIX 14 6 0 0
SiX 14 5 0 0
SiXI 14 4 0 0
SiXII 14 3 0 0
SiXIII 14 2 0 0
SiXIV 14 1 0 0
SI 16 16 0 0
SII 16 15 0 0
SIII 16 14 0 0
SIV 16 13 0 0
SV 16 12 0 0
SVI 16 11 0 0
SVII 16 10 0 0
SVIII 16 9 0 0
SIX 16 8 0 0
SX 16 7 0 0
SXI 16 6 0 0
SXII 16 5 0 0
SXIII 16 4 0 0
SXIV 16 3 0 0
SXV 16 2 0 0
SXVI 16 1 0 0
ArI 18 18 3.77e-13 6.51e-1
ArII 18 17 1.95e-12 7.52e-1
ArIII 18 16 3.23e-12 8.69e-1
ArIV 18 15 6.03e-12 8.12e-1
ArV 18 14 9.12e-12 8.11e-1
ArVI 18 13 1.58e-11 7.93e-1
ArVII 18 12 2.69e-11 7.44e-1
ArVIII 18 11 0 0
ArIX 18 10 4.90e-11 8.01e-1
ArX 18 9 6.92e-11 8.11e-1
ArXI 18 8 9.55e-11 7.93e-1
ArXII 18 7 1.23e-10 7.02e-1
ArXIII 18 6 2.14e-10 7.74e-1
ArXIV 18 5 2.63e-10 9.07e-1
ArXV 18 4 2.63e-10 9.07e-1
ArXVI 18 3 0 0
ArXVII 18 2 0 0
ArXVIII 18 1 0 0
CaI 20 20 1.12e-13 9.00e-1
CaII 20 19 6.78e-13 8.00e-1
CaIII 20 18 3.96e-12 7.00e-1
CaIV 20 17 7.08e-12 7.80e-1
CaV 20 16 1.07e-11 8.40e-1
CaVI 20 15 1.80e-11 8.20e-1
CaVII 20 14 2.40e-11 8.20e-1
CaVIII 20 13 3.76e-11 8.10e-1
CaIX 20 12 5.04e-11 7.80e-1
CaX 20 11 0 0
CaXI 20 10 8.51e-13 8.20e-1
CaXII 20 9 1.18e-10 8.10e-1
CaXIII 20 8 1.58e-10 8.00e-1
CaXIV 20 7 2.04e-10 7.30e-1
CaXV 20 6 2.60e-10 8.00e-1
CaXVI 20 5 3.24e-10 7.89e-1
CaXVII 20 4 3.81e-10 8.50e-1
CaXVIII 20 3 0 0
CaXIX 20 2 0 0
CaXX 20 1 0 0
FeI 26 26 1.42e-13 8.91e-1
FeII 26 25 1.02e-12 8.43e-1
FeIII 26 24 3.32e-12 7.46e-1
FeIV 26 23 7.80e-12 6.82e-1
FeV 26 22 1.51e-11 6.99e-1
FeVI 26 21 2.62e-11 7.28e-1
FeVII 26 20 4.12e-11 7.59e-1
FeVIII 26 19 6.055e-11 7.90e-1
FeIX 26 18 8.13e-11 8.10e-1
FeX 26 17 1.09e-10 8.29e-1
FeXI 26 16 1.33e-10 8.28e-1
FeXII 26 15 1.64e-10 8.34e-1
