Ion Z N a b T0 T1
HI 1 1 7.982e-11 0.748 3.148 7.036e5
HeI 2 2 9.356e-10 0.7892 4.266e-2 4.677e6
HeII 2 1 1.891e-10 0.7524 9.370 2.774e6
LiI 3 3 1.036e-11 0.3880 1.077e2 1.177e7
LiII 3 2 1.112e-10 0.6926 2.437e1 8.323e6
LiIII 3 1 3.039e-10 0.7539 1.871e1 6.209e6
BeI 4 4 0 1 1 1
BeII 4 3 2.338e-11 0.4211 3.647e2 1.215e7
BeIII 4 2 1.317e-10 0.6691 8.473e1 1.412e7
BeIV 4 1 4.290e-10 0.7557 3.000e1 1.093e7
BI 5 5 0 1 1 1
BII 5 4 0 1 1 1
BIII 5 3 1.317e-10 0.6691 8.473e1 1.412e7
BIV 5 2 4.290e-10 0.7557 3.000e1 1.093e7
BV 5 1 5.437e-10 0.7560 4.576e1 1.706e7
CI 6 6 0 1 1 1
CII 6 5 0 1 1 1
CIII 6 4 0 1 1 1
CIV 6 3 8.540e-11 0.5247 5.014e2 1.479e7
CV 6 2 2.765e-10 0.6858 1.535e2 2.556e7
CVI 6 1 6.556e-10 0.7567 6.523e1 2.446e7
NI 7 7 0 1 1 1
NII 7 6 0 1 1 1
NIII 7 5 0 1 1 1
NIV 7 4 0 1 1 1
NV 7 3 1.169e-10 0.5470 6.793e2 1.650e7
NVI 7 2 3.910e-10 0.6988 1.611e2 3.271e7
NVII 7 1 7.586e-10 0.7563 9.015e1 3.338e7
OI 8 8 0 1 1 1
OII 8 7 0 1 1 1
OIII 8 6 0 1 1 1
OIV 8 5 0 1 1 1
OV 8 4 0 1 1 1
OVI 8 3 2.053e-10 0.6019 4.772e2 1.711e7
OVII 8 2 4.897e-10 0.7048 1.906e2 4.093e7
OVIII 8 1 8.616e-10 0.7563 1.191e2 4.352e7
FI 9 9 0 1 1 1
FII 9 8 0 1 1 1
FIII 9 7 0 1 1 1
FIV 9 6 0 1 1 1
FV 9 5 0 1 1 1
FVI 9 4 0 1 1 1
FVII 9 3 2.739e-10 0.6188 5.033e2 2.064e7
FVIII 9 2 5.602e-10 0.7052 2.476e2 5.077e7
FIX 9 1 9.712e-10 0.7566 1.499e2 5.498e7
NeI 10 10 0 1 1 1
NeII 10 9 0 1 1 1
NeIII 10 8 0 1 1 1
NeIV 10 7 0 1 1 1
NeV 10 6 0 1 1 1
NeVI 10 5 0 1 1 1
NeVII 10 4 0 1 1 1
NeVIII 10 3 2.739e-10 0.6188 5.033e2 2.064e7
NeIX 10 2 5.602e-10 0.7052 2.476e2 5.077e7
NeX 10 1 1.085e-9 0.7570 1.834e2 6.776e7
NaI 11 11 5.641e-12 0.1749 3.077e2 2.617e6
NaII 11 10 0 1 1 1
NaIII 11 9 0 1 1 1
NaIV 11 8 0 1 1 1
NaV 11 7 0 1 1 1
NaVI 11 6 0 1 1 1
NaVII 11 5 0 1 1 1
NaVIII 11 4 0 1 1 1
NaIX 11 3 3.873e-10 0.1749 3.077e2 2.617e6
NaX 11 2 6.833e-10 0.7018 4.060e2 7.491e7
NaXI 11 1 1.163e-9 0.7558 2.328e2 8.262e7
MgI 12 12 0 1 1 1
MgII 12 11 1.920e-11 0.3028 4.849e2 5.890e6
MgIII 12 10 0 1 1 1
MgIV 12 9 0 1 1 1
MgV 12 8 0 1 1 1
MgVI 12 7 0 1 1 1
MgVII 12 6 0 1 1 1
MgVIII 12 5 0 1 1 1
MgIX 12 4 0 1 1 1
MgX 12 3 4.284e-10 0.6287 8.748e2 3.586e7
MgXI 12 2 7.510e-10 0.7020 4.921e2 8.643e7
MgXII 12 1 1.317e-9 0.7574 2.585e2 9.769e7
AlI 13 13 0 1 1 1
AlII 13 12 3.753e-11 0.3585 6.848e2 9.035e6 
AlIII 13 11 0 1 1 1
AlIV 13 10 0 1 1 1
AlV 13 9 0 1 1 1
AlVI 13 8 0 1 1 1
AlVII 13 7 0 1 1 1
AlVIII 13 6 0 1 1 1
AlIX 13 5 0 1 1 1
AlX 13 4 0 1 1 1
AlXI 13 3 4.881e-10 0.6326 9.941e2 4.085e7
AlXII 13 2 8.182e-10 0.7009 5.875e2 1.007e8
AlXIII 13 1 1.419e-9 0.7578 3.057e2 1.143e8
SiI 14 14 0 1 1 1
SiII 14 13 0 1 1 1
SiIII 14 12 0 1 1 1
SiIV 14 11 5.942e-11 0.3930 8.962e2 1.213e7
SiV 14 10 0 1 1 1
SiVI 14 9 0 1 1 1
SiVII 14 8 0 1 1 1
SiVIII 14 7 0 1 1 1
SiIX 14 6 0 1 1 1
SiX 14 5 0 1 1 1
SiXI 14 4 0 1 1 1
SiXII 14 3 5.373e-10 0.6337 1.164e3 4.677e7
SiXIII 14 2 8.722e-10 0.6996 7.098e2 1.155e8
SiXIV 14 1 1.517e-9 0.7574 3.601e2 1.329e8
SI 16 16 0 1 1 1
SII 16 15 0 1 1 1
SIII 16 14 0 1 1 1
SIV 16 13 0 1 1 1
SV 16 12 0 1 1 1
SVI 16 11 3.502e-10 0.6266 1.532e2 1.755e7
SVII 16 10 0 1 1 1
