Time	Mass	StarMass	Total	Stars	HMXBs	LMXBs	BH	NS	LumStars	LumStars8	LumStarsIon	NionStars	LumHMXBs	LumHMXBsIon	NionHMXBs	LumBH	LumNS
100000	0	1.07192	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0
200000	1.07192	1.32037	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0
300000	1.32037	25.2256	32	28	0	0	0	0	4.17347e+37	4.17347e+37	2.09569e+36	8.2462e+46	0	0	0	0	0
400000	25.2256	53.1622	110	106	0	0	0	0	4.22356e+37	4.17347e+37	2.09598e+36	8.24742e+46	0	0	0	0	0
500000	53.1622	164.118	449	445	0	0	0	0	6.88644e+37	6.12909e+37	3.02226e+36	1.19211e+47	0	0	0	0	0
600000	164.118	410.407	1188	1184	0	0	0	0	2.54054e+38	2.37866e+38	2.45154e+37	9.32671e+47	0	0	0	0	0
700000	410.407	880.248	2571	2567	0	0	0	0	3.81251e+38	3.34304e+38	3.08937e+37	1.18256e+48	0	0	0	0	0
800000	880.248	1669.16	4579	4575	0	0	0	0	4.38271e+39	4.30342e+39	1.16608e+39	4.1075e+49	0	0	0	0	0
900000	1669.16	2787.62	7731	7727	0	0	0	0	4.91626e+39	4.76364e+39	1.22139e+39	4.31609e+49	0	0	0	0	0
1e+06	2787.62	4295.72	12151	12147	0	0	0	0	6.46622e+39	6.27399e+39	1.43626e+39	5.1208e+49	0	0	0	0	0
1.1e+06	4295.72	6209.95	17667	17663	0	0	0	0	1.24823e+40	1.22024e+40	2.89325e+39	1.03503e+50	0	0	0	0	0
1.2e+06	6209.95	8517.6	24316	24312	0	0	0	0	1.55956e+40	1.52199e+40	3.46271e+39	1.24346e+50	0	0	0	0	0
1.3e+06	8517.6	11162.9	31841	31837	0	0	0	0	3.44996e+40	3.40032e+40	1.04036e+40	3.60421e+50	0	0	0	0	0
1.4e+06	11162.9	14115.4	40345	40341	0	0	0	0	3.87066e+40	3.80945e+40	1.10708e+40	3.85193e+50	0	0	0	0	0
1.5e+06	14115.4	17369.9	49604	49600	0	0	0	0	5.02592e+40	4.9519e+40	1.47515e+40	5.12165e+50	0	0	0	0	0
1.6e+06	17369.9	20776.4	59376	59372	0	0	0	0	6.38906e+40	6.30345e+40	1.8968e+40	6.58592e+50	0	0	0	0	0
